full_name,id,site,date,qPCR_mean,qPCR_sd,qPCR_sd_min,qPCR_sd_max,description,type,geology,categories,depth,fluorid_ppm,chloride_ppm,nitrate_ppm,sulfate_ppm,TA_ppm,lithium_ppm,sodium_ppm,potassium_ppm,magnesium_ppm,calcium_ppm,T_degC,pH_field,pH_lab,EC_field_ySpcm,EC_lab_ySpcm,TDS_ppm,ORP_mV,Flowrate_lps,MPF,d18O_ppt,dD_ppt
BdTfrac4652-20201214_S44.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4652-20201214,BdTfrac4652,20201214,1348.359059,196.5249345,1151.834124,1544.883994,bedretto,fracture,granite,subsurface,1090,3.74,0.14,0,12.45,15,0,11.4,0.2,0,10.33,18.3,8.46,8.47,74.2,70.4,55.4,225,0.0136,2,-14.57,-101.62
BdTfrac4652-20210203_S45.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4652-20210203,BdTfrac4652,20210203,706.5083647,85.56659551,620.9417692,792.0749602,bedretto,fracture,granite,subsurface,1090,2.98,0.19,0,12.52,15,0,11.33,0.18,0,9.61,18,9.33,9.12,84.1,73.3,61.5,162,0.0176,2,-14.63,-101.99
BdTfrac4652-20210708_S46.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4652-20210708,BdTfrac4652,20210708,1119.587188,114.8765995,1004.710588,1234.463787,bedretto,fracture,granite,subsurface,1090,3.51,0.16,0,13.51,,0,12.22,0.37,0,10.83,18.1,9.2,,83.2,,59.5,160,0.015,2,,
BdTfrac4652-20211201_S47.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4652-20211201,BdTfrac4652,20211201,548.9097687,239.5848701,309.3248985,788.4946388,bedretto,fracture,granite,subsurface,1090,3.375140661,0.239072991,,10.94514283,,,,,,,19.7,9.3,,104.5,,75,105,0.0028,,,
