full_name,id,site,date,qPCR_mean,qPCR_sd,qPCR_sd_min,qPCR_sd_max,description,type,geology,categories,depth,fluorid_ppm,chloride_ppm,nitrate_ppm,sulfate_ppm,TA_ppm,lithium_ppm,sodium_ppm,potassium_ppm,magnesium_ppm,calcium_ppm,T_degC,pH_field,pH_lab,EC_field_ySpcm,EC_lab_ySpcm,TDS_ppm,ORP_mV,Flowrate_lps,MPF,d18O_ppt,dD_ppt,CBE_pc
BdTfrac444-20201215_S36.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20201215,BdTfrac444,20201215,66636.68034,16201.40679,50435.27355,82838.08713,bedretto,fracture,gneiss,subsurface,281,0.19,0.13,1.74,23.85,27.5,0,1.51,5.53,1.56,25.72,7.9,7.39,8.62,124.9,119.6,88.8,239,0.007,1,-12.79,-88.96,18.43
BdTfrac444-20210119_S37.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20210119,BdTfrac444,20210119,23134.4054,6256.730917,16877.67448,29391.13632,bedretto,fracture,gneiss,subsurface,281,0.2,0.87,1.69,21.48,25,0,1.48,6.33,1.46,24.73,6.8,9.41,7.93,122.8,100.3,86.7,185,0.0069,1,-12.78,-88.55,25.67
BdTfrac444-20210304_S38.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20210304,BdTfrac444,20210304,46513.07871,10573.40339,35939.67532,57086.4821,bedretto,fracture,gneiss,subsurface,281,0.05,0.24,0,20.34,25,0,1.63,5.53,1.59,22.6,6.6,8.7,8.56,137.9,112.9,98,181,0.007,1,-12.82,-88.93,23.59
BdTfrac444-20210521_S40.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20210521,BdTfrac444,20210521,19969.2074,4827.600622,15141.60678,24796.80802,bedretto,fracture,gneiss,subsurface,281,,,,,,,,,,,,,,,,,,,,,,
BdTfrac444-20210708_S41.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20210708,BdTfrac444,20210708,9635.295926,2021.341395,7613.954531,11656.63732,bedretto,fracture,gneiss,subsurface,281,0.14,0.46,1.05,27.37,,0.15,2.65,5.59,1.65,25.76,7.6,8.5,,147.5,,105,117,0.0068,1,,,
BdTfrac444-20211130_S42.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20211130,BdTfrac444,20211130,22033.02043,6102.670049,15930.35038,28135.69048,bedretto,fracture,gneiss,subsurface,281,0.181638951,0.123249905,1.779893509,19.14833828,,,,,,,9.3,8.3,,139,,99.6,-70,0.0039,,,,
