ID_sheet,ID,type,location_name,Tunnelwall,Borehole_interval,Borehole_depth_top,Borehole_depth_bottom,Tunnel_Location_tm,Date_ddmmmyy,time_hhmm,overburden_m,geology,categories,fluorid_ppm,chloride_ppm,nitrate_ppm,sulfate_ppm,CO3_ppm,lithium_ppm,sodium_ppm,potassium_ppm,magnesium_ppm,calcium_ppm,T_degC,pH_field,pH_lab,EC_field_ySpcm,EC_lab_ySpcm,TDS_ppm,ORP_mV,Flowrate_lps,MPF,d18O_ppt,dD_ppt,d18O_ppt_2,dD_ppt_2,CBE_pc,mixing_st1nit1_2,notes,Name,pH,EC,Q,Temperature,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,Lithium,Sodium,Ammonium,Potassium,Magnesium,Calcium,Strontium,Lab_pH,Lab_EC,qPCR_mean,qPCR_std,Map ID,python_ID,python_date,Excel_TM,Excel_Overburden,Excel_Geology,Excel_Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSlakeAA2_DUP2.20210821,,,,,0.15,0.04,,,0.49,,0.11,,,,,,,,,,,,,BdSlakeAA2_DUP2,20210821,,,,surface
534,lakeAA2_45,lake,BdSlakeAA2am,,,,,,21.08.2021,12:25,,,surface,,,,,,,,,,,2.9,6.9,,8.2,,3.5,,,,,,,,,,,BdSLakeAA2B.20210821,6.9,8.2,,2.9,0.21,0.02,,,0.51,,0.14,,,,,,,,,,683295.271,144877.2601,,BdSLakeAA2B,20210821,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metadata with moira?,BdSLakeAA3.20210821,,,,,0.15,0.04,,,0.49,,0.11,,,,,,,,,,4291237.345,1514900.014,,BdSLakeAA3,20210821,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSlakeAA3.20210821,,,,,0.17,0.13,,,0.66,,0.49,,,,,,,,,,,,,BdSlakeAA3,20210821,,,,surface
281,snow_ronco_portal_13,snow,BdSprecRoncoPortal,,,,,,21.12.2020,18:00,,,surface,0,0.71,0,0,0,0.03,0,0.55,0.26,2.73,0,,8.756,,14.2,,,,,,,,,,,,BdSprecRoncoPortal.20201221,,,,,,,,,,,,,,,,,,,,,,,,BdSprecRoncoPortal,20201221,,,,surface
282,snow_ronco_portal_17,snow,BdSprecRoncoPortal,,,,,,04.03.2021,09:45,,,surface,0.28,0.4,0.22,0,,0,0.13,0.38,0.34,0,0,9.26,9.589,25.8,7.8,18.5,170,,,-12.44,-89.88,,,,,,BdSprecRoncoPortal.20210304,,,,,,,,,,,,,,,,,,,,,,,,BdSprecRoncoPortal,20210304,,,,surface
283,snow_ronco_portal_19,snow,BdSprecRoncoPortal,,,,,,15.04.2021,18:00,,,surface,0,1.03,0,0,,0,0.41,0.47,0,2.92,0,,7.4,8.88,19.2,15.9,13.2,,,-11.2,-79.91,,,,,,BdSprecRoncoPortal.20210415,,8.88,,,0,1.03,,,0,,0,0,0.41,,0.47,0,2.92,,7.4,19.2,,,,BdSprecRoncoPortal,20210415,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSprecRoncoPortal.20210521_1,,,,,0.05,0.15,,,2.37,,0.4,0,0.72,,0.1,0.1,0,,9.373,9.5,,,,BdSprecRoncoPortal,20210521,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSprecRoncoPortal.20210521_2,,,,,0.03,0.13,,,2.27,,0.26,0,0.71,,0.13,0.11,0,,9.314,3.8,,,,BdSprecRoncoPortal,20210521,,,,surface
460,rain_ronco_portal_36,precipitation,BdSprecRoncoPortal,,,,,,24.05.2021,,,,surface,0,0.01,0.94,0.36,,0,1.49,0,0.02,0,7.4,,8.421,19.8,7.2,14.2,149,,,,,,,,,,BdSprecRoncoPortal.20210524,,19.8,,7.4,0,0.01,,,0.94,,0.36,0,1.49,,0,0.02,0,,8.421,7.2,,,,BdSprecRoncoPortal,20210524,,,,surface
518,rain_ronco_39,precipitation,BdSprecRoncoPortal,,,,,,08.07.2021,,,,surface,,,,,,0,2.83,0.46,0.43,3.35,,,,,,,,,,,,,,,,,BdSprecRoncoPortal.20210708,,,,,0,4.39,,,0.59,,2.27,0,2.83,,0.46,0.43,3.35,,,,,,,BdSprecRoncoPortal,20210708,,,,surface
528,rain_ronco_42,precipitation,BdSprecRoncoPortal,,,,,,28.07.2021,,,,surface,0,0.14,0.25,0.24,,0,0.35,0,0.01,0.14,,,8.423,,3.1,,,,,,,,,,,samples collected by ?B.Brixel/ ?C.Magnabosco,BdSprecRoncoPortal.20210728,,,,,0,0.14,,,0.25,,0.24,0,0.35,,0,0.01,0.14,,8.423,3.1,,,,BdSprecRoncoPortal,20210728,,,,surface
371,rain_ronco_bucket_33_01,precipitation,BdSprecRoncoPortala,,,,,,21.05.2021,,,,surface,0.05,0.15,2.37,0.4,,0,0.72,0.1,0.1,0,,,9.373,,9.5,,,,,-5.69,-32.24,,,,,,BdSprecRoncoPortala.20210521,,,,,,,,,,,,,,,,,,,,,,,,BdSprecRoncoPortala,20210521,,,,surface
372,rain_ronco_33_02,precipitation,BdSprecRoncoPortalb,,,,,,21.05.2021,,,,surface,0.03,0.13,2.27,0.26,,0,0.71,0.13,0.11,0,,,9.314,,3.8,,,,,-5.24,-28.25,,,,,,BdSprecRoncoPortalb.20210521,,,,,,,,,,,,,,,,,,,,,,,,BdSprecRoncoPortalb,20210521,,,,surface
287,riale_di_ronco_bridge_20,stream,BdSRoncoBridge,,,,,,27.04.2021,18:15,,,surface,0.44,0.15,2.34,3.93,,0.1,1.56,1.28,0.45,8.58,,,8.667,,36.4,,,,1,-14.31,-100.45,,,,,,BdSRoncoBridge.20210427,,,,,0.44,0.15,,,2.34,,3.93,0.1,1.56,,1.28,0.45,8.58,,8.667,36.4,,,,BdSRoncoBridge,20210427,,,,surface
489,riale_di_ronco_bridge_38,stream,BdSRoncoBridge,,,,,,27.06.2021,16:20,,,surface,0.83,0.01,0.68,1.87,,0,2.32,0.68,0.21,7.44,8.4,7.5,7.195,25.2,20.6,17.6,154,,1,-13.92,-96.09,-13.72,-95.29,,,,BdSRoncoBridge.20210627,,25.2,,8.4,0.83,0.01,,,0.68,,1.87,0,2.32,,0.68,0.21,7.44,,7.195,20.6,,,,BdSRoncoBridge,20210627,,,,surface
284,RoncoPortal_stream_18,stream,BdSRoncoPortalstr,,,,,,22.03.2021,19:00,,,surface,0.9,0.47,0.75,28.53,,0,5.23,3.66,2.17,23.54,,,,,,,,,1,,,,,,,,BdSRoncoPortalstr.20210322,,,,,0.9,0.47,,,0.75,,28.53,0,5.23,,3.66,2.17,23.54,,,,,,,BdSRoncoPortalstr,20210322,,,,surface
482,ronco_spring_up_38,spring,BdSRoncoSpr,,,,,,27.06.2021,13:35,,,surface,0.78,0.01,0.98,2.51,,0.21,0.87,0.23,0.12,6.26,4.3,6.9,8.738,26.3,13,18.6,162,,1,,,-14.04,-95.79,,,,BdSRoncoSpr.20210627,,26.3,,4.3,0.78,0.01,,,0.98,,2.51,0.21,0.87,,0.23,0.12,6.26,,8.738,13,,,,BdSRoncoSpr,20210627,,,,surface
483,riale_di_ronco_up_stream_I_38,stream,BdSRoncoUpstrI,,,,,,27.06.2021,13:51,,,surface,0.84,0.01,0.76,0.8,,0.01,1.6,0.22,0.11,4.47,8.5,7,8.811,17.5,12.6,11.5,182,,1,-13.94,-96.79,-13.93,-96.41,,,,BdSRoncoUpstrI.20210627,,17.5,,8.5,0.84,0.01,,,0.76,,0.8,0.01,1.6,,0.22,0.11,4.47,,8.811,12.6,,,,BdSRoncoUpstrI,20210627,,,,surface
484,riale_di_ronco_up_stream_II_38,stream,BdSRoncoUpstrII,,,,,,27.06.2021,14:00,,,surface,0.52,0.01,1.04,0.53,,0,0.45,0.19,0.09,3.52,10.6,6.9,8.855,10.9,8.3,8,157,,1,-14.97,-104.27,-15.03,-103.99,,,,BdSRoncoUpstrII.20210627,,10.9,,10.6,0.52,0.01,,,1.04,,0.53,0,0.45,,0.19,0.09,3.52,,8.855,8.3,,,,BdSRoncoUpstrII,20210627,,,,surface
485,riale_di_ronco_up_stream_III_38,stream,BdSRoncoUpstrIII,,,,,,27.06.2021,14:05,,,surface,0.41,0,0.34,1.15,,0,2.05,0.23,0.12,5.33,5.6,6.8,8.57,21.3,17.2,15.1,165,,1,-13.92,-96.04,-13.84,-95.91,,,,BdSRoncoUpstrIII.20210627,,21.3,,5.6,0.41,0,,,0.34,,1.15,0,2.05,,0.23,0.12,5.33,,8.57,17.2,,,,BdSRoncoUpstrIII,20210627,,,,surface
486,riale_di_ronco_up_stream_IV_38,stream,BdSRoncoUpstrIV,,,,,,27.06.2021,14:10,,,surface,0.67,0.01,0.75,0.39,,0,0.46,0.32,0.12,4.64,9.4,7,8.581,14.9,12.8,10.7,161,,1,-13.89,-96.42,-13.92,-96.09,,,,BdSRoncoUpstrIV.20210627,,14.9,,9.4,0.67,0.01,,,0.75,,0.39,0,0.46,,0.32,0.12,4.64,,8.581,12.8,,,,BdSRoncoUpstrIV,20210627,,,,surface
532,strAA0_45,stream,BdSstrAA0,,,,,,21.08.2021,10:30,,,surface,,,,,,,,,,,6.6,8,,7.2,,4.9,,,,,,,,,,source: snow pack (estimated volumne: 50x30x1m),BdSstrAA0.20210821,,,,,0.02,0.04,,,0.25,,0.06,,,,,,,,,,,,,BdSstrAA0,20210821,,,,surface
533,strAA1_45,stream,BdSstrAA1,,,,,,21.08.2021,11:15,,,surface,,,,,,,,,,,7.9,7.7,,4,,2.7,,,,,,,,,,,BdSstrAA1.20210821,7.7,4,,7.9,0.03,0.07,,,0.21,,0.14,,,,,,,,,,1587539.125,546747.1625,,BdSstrAA1,20210821,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSstrAA1_DUP.20210821,,,,,0.03,0.03,,0.04,0.15,,0.03,,,,,,,,,,,,,BdSstrAA1_DUP,20210821,,,,surface
536,ticino_river_bridge_45,river,BdSTicinoRiverBridge,,,,,,21.08.2021,19:15,,,surface,,,,,,,,,,,8.9,7.7,,409,,290,,,,,,,,,,,BdSTicinoRiverBridge.20210821,7.7,409,,8.9,,,,,,,,,,,,,,,,,2141911.532,692665.7022,,BdSTicinoRiverBridge,20210821,,,,surface
285,ticino_river_bridge_19,river,BdSTicinoRiverBridge,,,,,,15.04.2021,20:00,,,surface,0,1.38,0.77,235.36,,0,1.46,2.08,0,110.73,1.2,8.46,8.506,594,456,420,268,,1,-13.17,-90.6,,,,,,BdSTicinoRiverBridge.20210415,,594,,1.2,0,1.38,,,0.77,,235.36,0,1.46,,2.08,0,110.73,,8.506,456,,,,BdSTicinoRiverBridge,20210415,,,,surface
286,ticino_river_bridge_20,river,BdSTicinoRiverBridge,,,,,,27.04.2021,18:00,,,surface,0.14,1.66,0,202.28,,0.1,2.18,1.67,0,98.35,,,,,,,,,1,-12.98,-92.7,,,,,,BdSTicinoRiverBridge.20210427,,,,,0.14,1.66,,,0,,202.28,0.1,2.18,,1.67,,98.35,,,,,,,BdSTicinoRiverBridge,20210427,,,,surface
488,ticino_river_bridge_38,river,BdSTicinoRiverBridge,,,,,,27.06.2021,16:15,,,surface,0.22,0.36,0.72,93.96,,0,0.96,1.32,5.5,50.75,9.7,6.9,6.823,277,233,196,173,,1,,,-13.4,-91.91,,,,BdSTicinoRiverBridge.20210627,,277,,9.7,0.22,0.36,,,0.72,,93.96,0,0.96,,1.32,5.5,50.75,,6.823,233,,,,BdSTicinoRiverBridge,20210627,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSWalpenova.20210712,,,,,0.87,0.1,,,0.78,,0.43,,,,,,,,,,,,,BdSWalpenova,20210712,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSWnuova.20210712,,,,,0.88,0.04,,,0.84,,0.27,,,,,,,,,,,,,BdSWnuova,20210712,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSWpiansecco21.20210712,,,,,0.68,0.08,,,1.04,,0.57,,,,,,,,,,,,,BdSWpiansecco21,20210712,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSWpiansecco22.20210712,,,,,0.66,0.04,,,1.02,,0.54,,,,,,,,,,,,,BdSWpiansecco22,20210712,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch0.20201103,7.9,132.2,111,9.1,0.64,0.59,,,0.9,,26.9,,5.13,,3.83,2.82,23.32,,8.589,131.6,,,,BdTditch0,20201103,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch1993.20201016,,,111,17.2,,,,,,,,,,,,,,,,,,,,BdTditch1993,20201016,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch2000.20201103,7.96,105.7,50,15.5,1.73,0.67,,,0.34,,27.43,,11.87,,0.47,0.26,15.16,,8.686,102.4,,,,BdTditch2000,20201103,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch2000.20201218,,77.5,,15.2,2.42,0.29,,,,,15.44,,11.24,,0.43,0.24,11.34,,8.5,75.8,,,,BdTditch2000,20201218,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch2000.20210303,8.77,126.6,,15.3,2.43,0.76,,,0.85,,30.76,0,12.05,,1.22,0.26,18.52,,8.68,105.4,,,,BdTditch2000,20210303,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch2097.20200820,,,111,17.1,2.8,3,,,0.91,,14.64,,9.95,,0.37,1.15,20.01,,8.356,80,,,,BdTditch2097,20200820,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch2097.20201016,,,111,17.2,2.22,0.33,,,,,15.27,,10.16,,0.45,0.25,10.24,,7.779,66.3,,,,BdTditch2097,20201016,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch2097.20201016,,,111,17,2.22,0.33,,,,,15.27,,10.16,,0.45,0.25,10.24,,7.779,66.3,,,,BdTditch2097,20201016,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch2097.20210415,8.56,86.4,,14.8,1.8,0.32,,,0,,14.8,0,10.05,,0.41,0,13.99,,9.07,74,,,,BdTditch2097,20210415,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch2097.20210520,10.67,86.6,,15.1,2.34,0.22,,,0.49,,12.29,0,9.89,,0.39,0,10.56,,8.855,79.9,,,,BdTditch2097,20210520,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch2097.20210521,,88.5,,14.9,2.83,0.09,,,0,,17.53,0,10.99,,0.46,0.08,10.66,,9.601,82.4,,,,BdTditch2097,20210521,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch2097.20210522,10.57,91.7,,15.1,3.3,0.31,,,0,,17.42,0,11.2,,0.51,0.08,10.67,,7.948,75,,,,BdTditch2097,20210522,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch2097.20210523,,87.5,,15.1,2.41,0.25,,,1.77,,15.7,0,10.82,,0.46,0,10.88,,8.084,57.5,,,,BdTditch2097,20210523,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch4447.20210303,8.9,90.2,,18,3.24,1.38,,,0,,13.26,0,11.48,,0.68,0.25,10.53,,8.51,75.2,,,,BdTditch4447,20210303,,,,experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTditch4950.20201214,8.26,85.8,,19.4,4.04,0.24,,,,,16.6,,11.49,,0.8,0.24,12.22,,9,79.5,,,,BdTditch4950,20201214,,,,experiment
157,1040_14,fracture,BdTfrac1040,,,,,1040,19.01.2021,,526,gneiss,subsurface,,,,,,,,,,,12.4,8.88,,136,,97,129,0.0011,1,,,,,,,,BdTfrac1040.20210119,8.88,136,0.0011475,12.4,,,,,,,,,,,,,,,,,,,,BdTfrac1040,20210119,1040,526,gneiss,subsurface
472,1203A_37,fracture,BdTfrac1203A,,,,,1203.1,01.06.2021,16:34,614,granite,subsurface,1.53,2.24,0.76,70.52,,0,9.44,0.2,0.01,33.96,9.4,8.5,8.053,190.6,157.8,135,117,0.004375,1,-13.33,-93.09,,,,,,BdTfrac1203A.20210601,8.5,190.6,0.004375,9.4,1.53,2.24,,,0.76,,70.52,0,9.44,,0.2,0.01,33.96,,8.053,157.8,,,,BdTfrac1203A,20210601,1203.1,614,granite,subsurface
