full_name,id,site,date,qPCR_mean,qPCR_sd,qPCR_sd_min,qPCR_sd_max,description,type,geology,categories,depth,fluorid_ppm,chloride_ppm,nitrate_ppm,sulfate_ppm,TA_ppm,lithium_ppm,sodium_ppm,potassium_ppm,magnesium_ppm,calcium_ppm,T_degC,pH_field,EC_field_ySpcm,TDS_ppm,ORP_mV,Flowrate_lps,MPF,d18O_ppt,dD_ppt,d18O_ppt_2,dD_ppt_2,CBE_pc
BdTfrac1494-20201103_S17.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20201103,BdTfrac1494,20201103,,,,,,,,,,2.96,8.91,0,270.18,,0.13,31.86,0.23,0.27,109.47,13.4,8.12,518,366,190,0.029,1,,,,,5.3
BdTfrac1494-20201215_S18.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20201215,BdTfrac1494,20201215,7160.884137,1394.167992,5766.716145,8555.052128,bedretto,fracture,granite,subsurface,829,4.67,9.06,0,297.58,10,0.13,31.86,0.26,0.23,117.66,13.1,7.89,515,364,150,0.027,1,-13.93,-97.08,,,2.83
BdTfrac1494-20210119_S19.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210119,BdTfrac1494,20210119,5331.027802,1127.488827,4203.538975,6458.516629,bedretto,fracture,granite,subsurface,829,3.98,8.64,0,274.2,10,0.13,31.39,0.22,0.23,108.71,13.4,8.84,511,351,151,0.0256,1,-13.87,-96.95,,,3.51
BdTfrac1494-20210304_S20.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210304,BdTfrac1494,20210304,6590.418498,1044.786144,5545.632354,7635.204642,bedretto,fracture,granite,subsurface,829,2.92,9.1,0,262.71,5,0.13,31.73,0.23,0.26,91.84,13,8.76,561,398,169,0.0275,1,-13.86,-96.48,,,-0.53
BdTfrac1494-20210505_S21.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210505,BdTfrac1494,20210505,1633.720415,46.01716934,1587.703245,1679.737584,bedretto,fracture,granite,subsurface,829,,,,,,,,,,,,,,,,,,,,,,
BdTfrac1494-20210521_S22.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210521,BdTfrac1494,20210521,1007.010975,73.32924551,933.6817298,1080.340221,bedretto,fracture,granite,subsurface,829,4.35,9.26,0,290.49,,0.14,32.12,0.22,0.08,111.41,,9.129,624.712,,,,1,-13.88,-96.95,,,
BdTfrac1494-20210601_S23.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210601,BdTfrac1494,20210601,7139.41546,633.2083246,6506.207135,7772.623784,bedretto,fracture,granite,subsurface,829,,,,,,0.29,33.37,1.02,0.01,108.77,13.2,8.6,562,399,97,0.02697,1,-13.92,-96.94,,,
BdTfrac1494-20210708_S24.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210708,BdTfrac1494,20210708,1059.607625,143.9624512,915.6451741,1203.570077,bedretto,fracture,granite,subsurface,829,4.41,9.32,0,288.49,,0.14,32.16,0.44,0.03,105.58,13,8.5,557,395,139,0.0227,1,,,,,
BdTfrac1494-20211130_S25.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20211130,BdTfrac1494,20211130,3560.817096,961.2381057,2599.578991,4522.055202,bedretto,fracture,granite,subsurface,829,4.236862901,7.633480815,,288.5375009,,,,,,,14.2,8.7,576,406,98,0.0036,,,,,,
