Label,Tunnel_Location_tm,category,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
DELOS Borehole,2030,subsurface,67.22,0,26.45,0.3,,0,3.91,174.68
DELOS Borehole,2030,subsurface,66.16,0,28.09,0.39,13,0,4.13,195.88
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2065,subsurface,35.24,0.19,24.21,2.53,,0,4.21,95.13
DELOS Borehole,2065,subsurface,42.65,0,25.63,0.6,10,0,5.12,111.44
DELOS Borehole,2065,subsurface,12.96,0,24.84,0.55,15,0,3.76,37.37
DELOS Borehole,2065,subsurface,14.58,0,24.09,0.38,15,0,3.8,37.27
DELOS Borehole,2065,subsurface,33.77,0,26.23,0.53,20,0,4.76,101.5
DELOS Borehole,2065,subsurface,,,,,,0,,
DELOS Borehole,2023.3,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,73.68,0,23.07,0.4,,0,5.78,180.19
DELOS Borehole,2023.3,subsurface,55.45,0,22.27,0.51,,0,4.63,137.82
DELOS Borehole,2067,subsurface,9.35,0,14.82,0.5,,0,1.8,20.14
DELOS Borehole,2067,subsurface,,,,,,0,,
DELOS Borehole,2067,subsurface,,,,,,0,,
DELOS Borehole,2067,subsurface,,,,,,0,,
DELOS Borehole,2065,subsurface,49.24,0,26.07,0.43,,0,5.04,126.68
DELOS Borehole,2065,subsurface,,,,,,0,,
DELOS Borehole,2065,subsurface,,,,,,0,,
DELOS Borehole,2065,subsurface,,,,,,0,,
DELOS Borehole,2065,subsurface,,,,,,0,,
DELOS Borehole,2065,subsurface,,,,,,0,,
DELOS Borehole,2065,subsurface,50.42,0,26.33,0.41,,0,5.07,128.12
DELOS Borehole,2065,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,66.58,0,24.11,0.44,,0,5.37,156.7
DELOS Borehole,2036.7,subsurface,65.26,0,24.26,0.42,,0,5.44,156.84
